accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
0.14,0.80,0.63,-6.96,-6.84,-10.38,-0.59,1.50,-8.92
0.21,0.78,-0.47,-44.62,108.15,57.74,3.13,1.70,-6.51
-0.73,-1.03,0.19,-148.99,-53.22,-243.23,1.88,-6.49,-16.30
-0.70,-0.97,0.45,7.93,-11.54,103.45,3.14,-7.60,-12.20
-0.80,0.03,0.12,-22.03,-41.50,11.66,3.79,-8.31,-11.51
-0.64,-0.99,0.04,-20.94,-164.86,-173.58,-2.64,-11.06,-17.38
0.26,-1.18,0.10,10.31,-129.70,-21.42,-8.33,-12.81,-17.04
-0.14,-1.08,0.07,-103.52,-1.40,-72.27,-8.77,-18.69,-19.53
-0.46,-0.96,0.31,-77.27,207.58,72.51,1.08,-23.41,-19.61
-0.57,-0.36,0.64,-137.57,-26.18,71.53,2.76,-28.96,-16.65
-0.34,-0.59,0.66,-12.33,-102.36,28.75,0.48,-29.83,-13.66
-0.53,-0.66,0.67,-145.69,234.86,170.35,13.06,-36.08,-13.13
-0.63,0.40,0.30,44.86,66.59,187.32,21.12,-31.33,-7.77
-0.13,0.72,0.39,-154.05,215.39,135.38,31.61,-35.08,-7.11
-0.17,0.14,1.07,108.46,-98.27,-120.36,25.13,-30.08,-8.41
-0.11,0.91,0.44,59.27,-45.47,-45.59,22.93,-25.59,-8.18
-0.35,0.90,0.06,90.76,-176.82,-184.69,14.60,-21.25,-11.49
-0.61,-0.01,0.60,-43.82,-109.13,-124.63,9.88,-23.07,-14.39
0.42,0.75,0.37,39.86,-76.54,-24.72,5.66,-19.41,-13.87
0.63,0.46,0.51,-244.32,-13.92,-90.03,2.12,-27.88,-16.68
-0.13,0.60,-0.52,-70.50,-33.26,-218.38,-2.80,-29.84,-23.64
-1.09,-0.59,-0.66,-1.04,-21.36,-77.15,-3.37,-31.13,-25.82
-0.11,0.61,-0.04,-44.25,-11.17,222.17,1.16,-31.21,-18.11
0.23,0.28,0.66,-269.59,31.31,137.76,4.66,-40.00,-14.29
-0.67,-0.62,0.46,-200.38,97.47,58.90,10.40,-48.52,-15.47
0.21,0.08,-0.75,-1.22,-36.01,-30.33,8.23,-50.00,-15.43
-0.57,-0.99,0.22,155.03,-317.14,-72.94,-1.60,-44.32,-8.20
0.69,0.72,0.40,38.02,-119.57,-72.20,-8.52,-41.21,-7.15
0.43,0.76,0.16,23.56,-90.58,-185.85,-17.23,-37.71,-10.96
-0.88,0.45,0.14,3.17,16.30,-92.77,-17.11,-35.49,-14.75
-1.33,-0.25,0.28,-74.95,1.28,203.67,-9.83,-40.08,-8.26
0.43,0.68,0.96,-107.73,57.13,76.72,-6.84,-42.44,-7.80
-0.67,-0.26,0.86,-76.66,-78.67,-48.58,-8.91,-44.69,-7.16
-0.37,-0.85,0.20,-15.01,130.49,-91.06,-6.68,-45.54,-13.32
-0.14,-0.98,0.12,-139.04,92.96,-265.50,-11.60,-50.89,-23.09
0.04,-1.01,0.04,8.67,16.17,-59.63,-12.70,-51.51,-24.85
0.07,-0.90,-0.06,-60.00,-59.33,-16.24,-14.40,-55.82,-22.94
-0.56,-0.20,0.64,222.35,-96.68,137.33,-10.74,-47.34,-16.51
-0.29,0.88,0.20,194.70,-25.70,50.96,-9.68,-38.25,-14.58
-0.04,0.70,-0.64,59.51,-65.86,-26.06,-12.73,-35.74,-13.86
-0.09,0.83,-0.34,22.58,-70.56,157.59,-11.58,-35.09,-7.22
-0.03,0.18,1.01,-85.02,135.93,44.98,-5.77,-36.58,-9.31
-0.54,-0.19,0.93,-47.18,50.54,1.65,-2.83,-37.52,-10.57
-0.55,-0.39,0.04,-485.84,970.64,84.72,25.33,-63.33,-37.52
-0.50,0.20,1.04,-60.73,-70.19,-90.27,21.41,-63.02,-35.63
-0.46,-0.19,0.65,-7.57,-58.41,-89.42,17.89,-61.72,-34.63
-1.09,-0.05,0.25,174.19,-52.00,144.59,23.58,-52.44,-29.12
-0.65,0.65,0.41,137.27,-122.50,-76.72,19.61,-44.53,-26.53
-0.88,0.41,0.35,-13.67,-115.30,-83.07,15.86,-43.56,-25.22
-0.29,0.25,1.13,19.65,-39.49,43.70,16.03,-40.19,-22.23
