accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.24,-0.47,0.88,-9.46,-8.06,-9.89,0.22,-1.43,-8.90
-0.54,-0.66,0.68,-54.08,138.85,-3.42,4.75,-4.95,-8.84
-0.69,-0.55,0.45,57.25,89.36,-113.28,9.40,-4.42,-13.77
-0.05,-0.83,0.13,-11.35,73.55,201.23,13.08,-5.58,-6.24
-0.08,-0.79,-0.24,117.43,10.13,-111.08,13.41,-4.22,-11.34
0.18,-1.16,0.01,9.83,-91.49,147.34,9.91,-4.84,-5.59
-0.47,-1.10,-0.02,3.97,101.01,-89.48,14.36,-7.67,-10.06
-0.19,-1.40,-0.09,-51.88,-17.33,-33.69,13.73,-12.34,-11.89
-0.02,-0.96,0.12,-48.10,91.55,-49.93,16.59,-17.24,-15.38
-0.51,-1.47,-0.14,-17.76,-9.70,8.36,16.90,-20.01,-15.57
0.08,-1.18,0.03,22.16,-14.65,-25.76,15.58,-21.53,-16.99
-0.41,-1.23,-0.07,-41.93,-31.25,-42.24,14.26,-25.60,-18.66
0.10,-0.88,0.11,-19.90,1.71,71.66,15.06,-27.69,-16.53
-0.60,-1.24,-0.14,22.34,-2.75,-80.63,14.16,-29.49,-19.92
-0.06,-0.98,0.17,-67.81,-50.78,92.29,14.10,-32.92,-16.02
-0.42,-1.05,0.04,4.09,46.75,-128.78,13.23,-35.83,-21.93
-0.01,-1.12,0.15,-82.03,-42.72,130.68,14.72,-39.50,-16.98
-0.23,-0.90,0.06,-6.96,-52.73,-121.70,10.00,-41.90,-19.75
-0.08,-1.24,-0.04,-20.81,-70.50,103.45,10.62,-43.59,-15.02
-0.39,-1.06,0.17,183.47,-7.26,-105.59,8.11,-38.08,-18.28
-0.32,-0.94,-0.20,34.42,202.58,-63.90,13.34,-40.01,-25.78
-0.12,-1.12,-0.02,13.49,129.03,-26.00,16.41,-42.39,-30.53
-0.24,-0.86,-0.01,25.21,7.81,-34.30,15.86,-43.44,-32.28
-0.24,-1.09,-0.12,-68.30,-56.88,131.65,18.05,-46.38,-27.22
-0.17,-1.24,0.22,-8.97,4.94,-24.66,17.14,-48.29,-28.47
-0.33,-1.04,-0.21,24.41,-39.67,9.52,16.63,-48.68,-27.50
-0.25,-0.97,0.24,-113.28,5.13,48.58,18.22,-53.92,-26.70
-0.63,-0.92,-0.01,73.06,19.53,-111.76,15.84,-52.91,-30.25
-0.13,-0.96,0.00,-25.51,12.27,165.83,21.24,-54.14,-26.91
-0.20,-0.78,0.08,15.63,54.87,-101.20,18.99,-56.19,-31.71
-0.20,-1.08,-0.24,23.25,-93.14,97.84,20.04,-55.12,-26.67
-0.72,-1.02,0.21,47.36,83.68,-80.38,19.90,-55.67,-31.81
-0.30,-1.24,-0.07,-33.14,-65.31,147.46,23.23,-56.27,-26.44
-0.54,-0.97,-0.03,125.98,-176.94,-165.65,14.17,-51.82,-24.94
-0.65,-1.18,-0.46,23.50,-80.14,-15.81,12.47,-52.15,-23.18
-0.15,-1.22,0.22,-31.98,-67.44,-34.85,9.58,-54.23,-22.05
-0.92,-1.27,-0.48,91.55,-122.74,-87.95,4.93,-51.91,-20.45
-0.16,-0.98,0.14,1.16,-24.11,19.84,5.34,-52.92,-19.30
-0.25,-0.88,-0.31,141.05,-55.30,-49.26,2.91,-49.08,-18.96
-0.38,-1.17,-0.23,5.49,-125.67,185.06,5.90,-49.90,-10.42
-0.75,-0.70,0.25,52.25,118.04,-81.48,7.92,-49.05,-16.21
-0.70,-0.68,0.38,-56.46,37.29,-172.30,4.81,-52.26,-21.83
-0.87,-1.14,0.49,-87.22,-9.16,-205.81,-0.92,-56.36,-26.38
-0.02,-0.79,0.17,-4.15,63.35,149.90,5.54,-57.30,-25.23
-0.42,-0.92,0.09,-40.28,-10.56,-88.07,3.08,-59.95,-26.80
-0.56,-1.20,0.28,56.40,-9.83,82.34,6.52,-58.12,-24.79
-0.45,-1.02,0.10,-20.81,-63.05,-129.21,1.50,-59.90,-25.38
-0.37,-1.26,0.31,44.80,144.47,146.18,10.00,-58.92,-27.42
-0.47,-0.95,0.15,-13.43,-68.85,-125.98,4.93,-60.23,-27.72
-0.91,-1.12,0.41,6.65,-25.63,-128.42,1.19,-60.36,-29.39
-0.01,-1.09,0.16,-37.60,24.29,-27.95,0.66,-62.69,-30.79
-0.59,-1.20,0.35,-8.06,-41.93,5.86,1.06,-63.36,-29.19
-0.27,-0.82,0.05,-9.16,17.46,1.28,2.08,-64.59,-29.82
-0.46,-1.04,0.53,-116.39,18.80,-57.98,1.00,-69.18,-31.44
-0.01,-0.81,0.14,-3.05,65.92,114.75,6.17,-69.77,-32.32
-0.30,-0.92,0.28,-83.13,-33.39,-99.55,2.43,-73.19,-32.33
-0.22,-1.00,0.30,-6.23,231.99,143.13,10.84,-74.29,-39.68
-0.17,-0.91,-0.02,176.09,164.55,-5.80,12.66,-69.23,-46.26
-0.59,-1.15,0.36,-16.54,53.22,-77.94,10.98,-70.64,-49.41
-0.24,-1.07,-0.14,93.26,-145.81,-151.55,3.38,-67.49,-46.28
-1.16,-2.36,0.55,286.32,29.79,121.28,9.04,-56.29,-44.99
-2.94,-3.46,1.52,-76.72,-94.30,-281.98,-1.37,-59.84,-47.80
-0.44,-1.70,-0.40,434.75,-71.78,206.85,3.90,-43.95,-40.41
0.36,-0.07,-0.22,-98.94,-51.64,309.33,9.28,-47.39,-30.27
2.12,-1.57,0.40,83.68,207.82,44.68,14.28,-45.71,-35.33
-0.84,-0.67,0.52,-88.68,-206.60,-102.66,6.86,-48.81,-32.05
-1.10,-0.47,-0.48,205.44,159.73,-82.82,10.82,-42.88,-39.04
-0.42,0.99,0.61,21.55,-10.56,-185.73,6.39,-40.69,-43.92
-1.03,0.17,-0.20,102.11,39.12,80.38,11.85,-36.37,-42.28
-0.68,1.21,0.14,-53.59,114.99,167.24,20.76,-35.94,-39.13
-0.05,0.99,-0.70,110.23,10.44,-91.80,19.87,-31.99,-42.31
-0.55,-1.35,0.07,-64.76,18.68,-138.31,17.67,-38.08,-48.18
-0.93,1.32,0.47,3.30,52.49,141.91,24.07,-34.75,-44.01
-2.04,1.51,1.89,-57.37,-26.61,50.54,25.47,-34.15,-40.75
-1.51,0.28,-0.38,-42.79,146.48,100.52,34.76,-35.88,-40.87
-0.06,0.39,-0.10,8.85,-14.22,23.80,36.07,-32.96,-38.46
0.40,-0.80,-0.76,-23.38,-164.37,-233.46,24.92,-38.53,-44.17
0.10,0.25,0.32,-86.55,80.63,14.40,27.06,-40.35,-44.94
-0.38,-0.53,1.05,84.05,-72.88,-120.00,21.46,-37.29,-46.76
-1.22,-0.59,0.57,86.30,71.41,-139.22,21.69,-36.48,-53.45
-0.83,-0.00,0.60,36.19,126.04,131.84,30.10,-33.45,-51.51
-0.87,-1.19,0.20,151.00,-30.15,-290.95,23.32,-33.69,-62.42
0.06,-0.79,-0.78,52.92,-1.34,-25.27,22.76,-34.34,-64.27
0.15,-0.59,0.03,-241.52,8.79,-161.19,17.73,-47.65,-70.25
0.40,-1.13,-0.19,-2.69,204.22,-42.79,20.51,-52.07,-78.53
0.35,-1.44,0.15,-309.27,-211.55,-37.72,13.64,-63.62,-72.23
0.23,-1.93,-0.19,451.66,-93.38,-202.09,4.34,-47.17,-74.11
0.12,-0.74,-0.11,-61.52,-302.80,93.63,-1.17,-51.02,-62.66
-0.27,-0.42,-0.82,-89.54,184.45,-58.72,1.88,-56.76,-69.98
0.18,-1.17,0.33,-320.07,15.56,136.90,6.61,-70.02,-68.08
-0.33,-0.74,0.30,330.63,19.29,27.89,8.55,-56.79,-68.19
-0.55,-0.99,0.66,-290.04,55.60,2.69,10.29,-68.62,-70.20
-0.51,-0.68,0.19,-93.57,38.02,65.49,14.22,-72.63,-70.85
-0.61,-0.88,0.36,-14.40,2.08,96.19,18.63,-72.71,-69.70
-0.26,-0.30,0.39,-17.70,156.62,84.59,23.85,-74.23,-74.76
