accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw
-0.54,0.32,0.85,-17.64,-20.45,-8.12,0.35,-0.01,-8.82
-0.56,0.32,0.85,-10.13,-5.68,-11.96,1.32,0.26,-9.30
-0.54,0.31,0.86,-2.87,-12.88,15.08,1.91,0.81,-8.68
0.10,0.65,0.84,-48.28,13.49,26.00,2.69,-0.27,-8.38
-0.58,0.32,0.90,-16.36,11.29,2.44,4.23,-0.27,-8.26
-0.62,0.72,0.38,2.01,32.47,-13.92,6.84,1.36,-8.67
-0.84,0.58,0.38,-5.55,21.12,-108.46,9.44,1.72,-12.87
-0.75,0.58,0.38,12.27,-146.55,-88.56,5.25,2.99,-16.45
-0.24,0.51,0.88,3.78,10.80,0.00,6.02,4.16,-16.33
-0.59,0.20,0.89,50.66,-68.24,54.99,4.13,6.64,-14.34
-0.78,0.20,0.75,-6.10,9.09,-0.55,5.99,6.63,-14.30
-0.84,0.34,0.65,-33.75,5.98,33.14,7.62,5.99,-12.90
-0.75,0.28,0.66,6.77,-200.01,28.99,0.99,6.75,-12.57
0.19,0.07,1.03,-37.48,-72.88,0.31,-2.19,5.28,-12.89
0.12,0.04,1.04,-11.11,40.04,-18.01,-0.70,4.74,-13.47
-0.20,0.46,0.85,-2.62,18.92,53.89,0.33,5.53,-11.26
-0.46,0.36,0.81,11.17,70.01,-37.90,4.28,6.57,-12.46
-0.65,0.45,0.69,-3.42,5.37,-13.92,5.85,7.18,-12.92
-0.69,0.45,0.67,-7.63,-6.53,-10.68,6.95,7.61,-13.30
-0.68,0.46,0.65,-3.36,-2.01,-12.27,8.21,8.22,-13.69
-0.71,0.47,0.61,-7.81,-4.21,-11.05,9.42,8.67,-14.03
-0.72,0.46,0.60,-8.24,-5.19,-10.93,10.59,9.05,-14.37
-0.71,0.47,0.60,-9.03,-5.80,-11.54,11.69,9.40,-14.72
-0.82,0.44,0.54,10.56,-24.54,-16.30,12.21,10.54,-15.36
-0.78,0.90,0.62,-9.70,73.00,-6.41,16.12,11.57,-14.74
-0.89,0.50,0.36,-25.02,-63.29,-1.89,15.19,11.32,-15.09
-0.99,0.30,0.25,-32.23,-13.73,-12.70,16.62,10.40,-15.59
-0.81,0.20,0.63,13.55,-10.38,6.16,17.43,11.17,-15.36
-0.73,0.20,0.75,-8.67,-15.44,-7.81,17.88,10.79,-15.78
-0.80,0.18,0.68,-8.79,-3.05,-11.60,19.01,10.39,-16.25
-0.81,0.20,0.65,-11.23,-10.38,-9.16,19.84,9.96,-16.66
-0.82,0.18,0.64,-9.09,-4.64,-10.80,20.89,9.59,-17.10
-0.81,0.20,0.64,-8.18,-5.86,-10.68,21.84,9.23,-17.57
-0.80,0.19,0.65,-9.09,-6.35,-11.60,22.74,8.86,-18.04
-0.81,0.19,0.62,-9.22,-5.43,-10.74,23.66,8.52,-18.45
-0.80,0.19,0.63,-8.97,-6.41,-11.41,24.50,8.18,-18.90
-0.81,0.19,0.64,-8.42,-4.64,-10.99,25.38,7.86,-19.31
-0.85,0.20,0.62,-10.07,-0.12,-11.54,26.47,7.49,-19.71
-0.83,0.18,0.60,-8.30,-5.00,-11.11,27.35,7.16,-20.13
-0.84,0.16,0.60,-8.97,-6.23,-10.99,28.15,6.76,-20.57
-0.85,0.18,0.61,-7.26,-6.65,-11.29,28.90,6.48,-20.99
